C_FULLNAME;C_NAME;C_BASECODE;HPDS_PATH
\ACT\Labs\LP40271-6\LP19403-2\LP42656-6 \49765-1\;Calcium in Blood;LOINC:49765-1;\ACT Lab Test Results\Chemistry\Electrolytes\Calcium\Calcium in Blood
\ACT\Labs\LP40271-6\LP19403-2\LP43710-0\;Phosphate;LOINC:LP43710-0;\ACT Lab Test Results\Chemistry\Electrolytes\Phosphate
\ACT\Labs\LP40271-6\LP19403-2\LP43710-0\2774-8\;Phosphate in Blood;LOINC:2774-8;\ACT Lab Test Results\Chemistry\Electrolytes\Phosphate\Phosphate in Blood
\ACT\Labs\LP40271-6\LP19403-2\LP43710-0\2777-1\;Phosphate in Serum or Plasma;LOINC:2777-1;\ACT Lab Test Results\Chemistry\Electrolytes\Phosphate\Phosphate in Serum or Plasma
\ACT\Labs\LP40271-6\LP19403-2\LP43752-2\;Urate;LOINC:LP43752-2;\ACT Lab Test Results\Chemistry\Electrolytes\Urate
\ACT\Labs\LP40271-6\LP19403-2\LP43752-2\3084-1\;Urate in Serum or Plasma;LOINC:3084-1;\ACT Lab Test Results\Chemistry\Electrolytes\Urate\Urate in Serum or Plasma
\ACT\Labs\LP40271-6\LP19403-2\LP46218-1\;Bicarbonate;LOINC:LP46218-1;\ACT Lab Test Results\Chemistry\Electrolytes\Bicarbonate
\ACT\Labs\LP40271-6\LP19403-2\LP46218-1\1959-6\;Bicarbonate in Blood;LOINC:1959-6;\ACT Lab Test Results\Chemistry\Electrolytes\Bicarbonate\Bicarbonate in Blood
\ACT\Labs\LP40271-6\LP19403-2\LP46218-1\1962-0\;Bicarbonate in Plasma;LOINC:1962-0;\ACT Lab Test Results\Chemistry\Electrolytes\Bicarbonate\Bicarbonate in Plasma
\ACT\Labs\LP40271-6\LP19403-2\LP46218-1\1963-8\;Bicarbonate in Serum;LOINC:1963-8;\ACT Lab Test Results\Chemistry\Electrolytes\Bicarbonate\Bicarbonate in Serum
\ACT\Labs\LP40271-6\LP19403-2\LP46218-1\2028-9\;Carbon dioxide in Serum or Plasma;LOINC:2028-9;\ACT Lab Test Results\Chemistry\Electrolytes\Bicarbonate\Carbon dioxide in Serum or Plasma
\ACT\Labs\LP40271-6\LP19403-2\LP46433-6\;Chloride;LOINC:LP46433-6;\ACT Lab Test Results\Chemistry\Electrolytes\Chloride
\ACT\Labs\LP40271-6\LP19403-2\LP46433-6\2069-3\;Chloride in Blood;LOINC:2069-3;\ACT Lab Test Results\Chemistry\Electrolytes\Chloride\Chloride in Blood
\ACT\Labs\LP40271-6\LP19403-2\LP46433-6\2075-0\;Chloride in Serum or Plasma;LOINC:2075-0;\ACT Lab Test Results\Chemistry\Electrolytes\Chloride\Chloride in Serum or Plasma
\ACT\Labs\LP40271-6\LP19403-2\LP48861-6\;Sodium;LOINC:LP48861-6;\ACT Lab Test Results\Chemistry\Electrolytes\Sodium
\ACT\Labs\LP40271-6\LP19403-2\LP48861-6\2947-0\;Sodium in Blood;LOINC:2947-0;\ACT Lab Test Results\Chemistry\Electrolytes\Sodium\Sodium in Blood
\ACT\Labs\LP40271-6\LP19403-2\LP48861-6\2951-2\;Sodium in Serum or Plasma;LOINC:2951-2;\ACT Lab Test Results\Chemistry\Electrolytes\Sodium\Sodium in Serum or Plasma
\ACT\Labs\LP40271-6\LP31392-1\;Enzymes;LOINC:LP31392-1;\ACT Lab Test Results\Chemistry\Enzymes
\ACT\Labs\LP40271-6\LP31392-1\LP43656-5\;LDH;LOINC:LP43656-5;\ACT Lab Test Results\Chemistry\Enzymes\LDH
\ACT\Labs\LP40271-6\LP31392-1\LP43656-5\14804-9\;LDH in Serum or Plasma by Lactate to pyruvate reaction;LOINC:14804-9;\ACT Lab Test Results\Chemistry\Enzymes\LDH\LDH in Serum or Plasma by Lactate to pyruvate reaction
\ACT\Labs\LP40271-6\LP31392-1\LP43656-5\14805-6\;LDH in Serum or Plasma by Pyruvate to lactate reaction;LOINC:14805-6;\ACT Lab Test Results\Chemistry\Enzymes\LDH\LDH in Serum or Plasma by Pyruvate to lactate reaction
\ACT\Labs\LP40271-6\LP31392-1\LP43656-5\2532-0\;LDH in Serum or Plasma;LOINC:2532-0;\ACT Lab Test Results\Chemistry\Enzymes\LDH\LDH in Serum or Plasma
\ACT\Labs\LP40271-6\LP31392-1\LP44699-4\;ALT;LOINC:LP44699-4;\ACT Lab Test Results\Chemistry\Enzymes\ALT
\ACT\Labs\LP40271-6\LP31392-1\LP44699-4\1742-6\;ALT in Serum or Plasma;LOINC:1742-6;\ACT Lab Test Results\Chemistry\Enzymes\ALT\ALT in Serum or Plasma
\ACT\Labs\LP40271-6\LP31392-1\LP44699-4\1743-4\;ALT in Serum or Plasma With P-5-P;LOINC:1743-4;\ACT Lab Test Results\Chemistry\Enzymes\ALT\ALT in Serum or Plasma With P-5-P
\ACT\Labs\LP40271-6\LP31392-1\LP44699-4\1744-2\;ALT in Serum or Plasma Without P-5-P;LOINC:1744-2;\ACT Lab Test Results\Chemistry\Enzymes\ALT\ALT in Serum or Plasma Without P-5-P
\ACT\Labs\LP40271-6\LP31392-1\LP45609-2\;ALP;LOINC:LP45609-2;\ACT Lab Test Results\Chemistry\Enzymes\ALP
\ACT\Labs\LP40271-6\LP31392-1\LP45609-2\1783-0\;ALP in Blood;LOINC:1783-0;\ACT Lab Test Results\Chemistry\Enzymes\ALP\ALP in Blood
\ACT\Labs\LP40271-6\LP31392-1\LP45609-2\6768-6\;ALP in Serum or Plasma;LOINC:6768-6;\ACT Lab Test Results\Chemistry\Enzymes\ALP\ALP in Serum or Plasma
\ACT\Labs\LP40271-6\LP31392-1\LP45656-3\;AST;LOINC:LP45656-3;\ACT Lab Test Results\Chemistry\Enzymes\AST
\ACT\Labs\LP40271-6\LP31392-1\LP45656-3\1920-8\;AST in Serum or Plasma;LOINC:1920-8;\ACT Lab Test Results\Chemistry\Enzymes\AST\AST in Serum or Plasma
\ACT\Labs\LP40271-6\LP31392-1\LP45656-3\30239-8\;AST in Serum or Plasma With P-5-P;LOINC:30239-8;\ACT Lab Test Results\Chemistry\Enzymes\AST\AST in Serum or Plasma With P-5-P
\ACT\Labs\LP40271-6\LP31392-1\LP47479-8\;GGT;LOINC:LP47479-8;\ACT Lab Test Results\Chemistry\Enzymes\GGT
\ACT\Labs\LP40271-6\LP31392-1\LP47479-8\2324-2\;GGT in Serum or Plasma;LOINC:2324-2;\ACT Lab Test Results\Chemistry\Enzymes\GGT\GGT in Serum or Plasma
\ACT\Labs\LP40271-6\LP31397-0\;Liver function;LOINC:LP31397-0;\ACT Lab Test Results\Chemistry\Liver function
\ACT\Labs\LP40271-6\LP31397-0\LP43561-7\;Bilirubin;LOINC:LP43561-7;\ACT Lab Test Results\Chemistry\Liver function\Bilirubin
\ACT\Labs\LP40271-6\LP31397-0\LP43561-7\15152-2\;Bilirubin conjugated in Serum or Plasma;LOINC:15152-2;\ACT Lab Test Results\Chemistry\Liver function\Bilirubin\Bilirubin conjugated in Serum or Plasma
\ACT\Labs\LP40271-6\LP31397-0\LP43561-7\1975-2\;Bilirubin total in Serum or Plasma;LOINC:1975-2;\ACT Lab Test Results\Chemistry\Liver function\Bilirubin\Bilirubin total in Serum or Plasma
\ACT\Labs\LP40271-6\LP31397-0\LP43561-7\42719-5\;Bilirubin total;LOINC:42719-5;\ACT Lab Test Results\Chemistry\Liver function\Bilirubin\Bilirubin total
\ACT\Labs\LP40271-6\LP31403-6\;Neuromuscular;LOINC:LP31403-6;\ACT Lab Test Results\Chemistry\Neuromuscular
\ACT\Labs\LP40271-6\LP31403-6\LP14685-9\;Myelin basic protein;LOINC:LP14685-9;\ACT Lab Test Results\Chemistry\Neuromuscular\Myelin basic protein
\ACT\Labs\LP40271-6\LP31403-6\LP14685-9\2638-5\;Myelin basic protein in CSF;LOINC:2638-5;\ACT Lab Test Results\Chemistry\Neuromuscular\Myelin basic protein\Myelin basic protein in CSF
\ACT\Labs\LP40271-6\LP31403-6\LP14685-9\56661-2\;Myelin basic protein in Serum;LOINC:56661-2;\ACT Lab Test Results\Chemistry\Neuromuscular\Myelin basic protein\Myelin basic protein in Serum
\ACT\Labs\Version\;  ACT_2.0.1_UMLS_2018AA;;\ACT Lab Test Results\  ACT_2.0.1_UMLS_2018AA
